pr_url,repo_full_name,repo_url,pr_title,repo_stars,changed_files,merged_at,terms_found
https://github.com/LiskHQ/lisk-desktop/pull/3394,LiskHQ/lisk-desktop,https://github.com/LiskHQ/lisk-desktop,Fix race condition between account updated action and initialization transaction,574,5,2021-02-19T14:09:16Z,race condition
https://github.com/parse-community/parse-server/pull/7212,parse-community/parse-server,https://github.com/parse-community/parse-server,Fix flaky test4,21388,1,2021-02-20T19:32:56Z,flaky test
https://github.com/BrightspaceUI/core/pull/1150,BrightspaceUI/core,https://github.com/BrightspaceUI/core,input-date: visual-diff: fix flaky test,77,6,2021-02-24T15:41:35Z,flaky test
https://github.com/department-of-veterans-affairs/vets-website/pull/16129,department-of-veterans-affairs/vets-website,https://github.com/department-of-veterans-affairs/vets-website,Update single facility messaging in new appt flow,277,9,2021-02-24T21:00:25Z,flaky test
https://github.com/ampproject/amphtml/pull/32814,ampproject/amphtml,https://github.com/ampproject/amphtml,✅  [amp-vimeo] add unit tests,14915,1,2021-02-23T17:33:42Z,flaky test
https://github.com/ampproject/amphtml/pull/32828,ampproject/amphtml,https://github.com/ampproject/amphtml,♻️ Fixit: Update some imports of assertions to use standalone helpers,14915,120,2021-03-03T18:53:06Z,flaky test
https://github.com/ampproject/amphtml/pull/32842,ampproject/amphtml,https://github.com/ampproject/amphtml,✅  [amp-mathml] add unit tests,14915,1,2021-02-24T17:37:24Z,flaky test
https://github.com/TryGhost/Ghost-CLI/pull/1417,TryGhost/Ghost-CLI,https://github.com/TryGhost/Ghost-CLI, Add support for more environments than production and development,490,18,2021-06-18T12:27:25Z,race condition
https://github.com/cypress-io/cypress/pull/15292,cypress-io/cypress,https://github.com/cypress-io/cypress,feat(deps): update dependency electron to version 12.x 🌟,49610,36,2021-03-10T15:24:00Z,race condition
https://github.com/ampproject/amphtml/pull/32847,ampproject/amphtml,https://github.com/ampproject/amphtml,🏗 Collect z-index from JS files,14915,7,2021-03-04T00:16:13Z,flaky test
https://github.com/ampproject/amphtml/pull/32848,ampproject/amphtml,https://github.com/ampproject/amphtml,✅  Replace legacy `describe` with `describes.sandboxed` ,14915,5,2021-02-24T17:41:56Z,flaky test
https://github.com/ampproject/amphtml/pull/32904,ampproject/amphtml,https://github.com/ampproject/amphtml,✅ [`amp-redbull-player`] Add unit tests to increase coverage.,14915,1,2021-02-25T19:18:54Z,flaky test
https://github.com/ampproject/amphtml/pull/32906,ampproject/amphtml,https://github.com/ampproject/amphtml,✅ [`amp-wistia-player`] Add unit tests to improve test coverage.,14915,1,2021-03-05T08:21:58Z,flaky test
https://github.com/ampproject/amphtml/pull/32910,ampproject/amphtml,https://github.com/ampproject/amphtml,✅ [`amp-ooyala-player`] Add unit tests to improve test coverage.,14915,1,2021-03-05T08:22:44Z,flaky test
https://github.com/k-yle/rtsp-relay/pull/45,k-yle/rtsp-relay,https://github.com/k-yle/rtsp-relay,update tests for dynamic URLs,381,5,2021-02-25T20:00:18Z,flaky test
https://github.com/ampproject/amphtml/pull/32934,ampproject/amphtml,https://github.com/ampproject/amphtml,✅ [`amp-minute-media-player`] Add more tests to improve code coverage.,14915,1,2021-03-05T08:23:17Z,flaky test
https://github.com/ampproject/amphtml/pull/32937,ampproject/amphtml,https://github.com/ampproject/amphtml,Fix unit tests for amp-viewer-integration,14915,2,2021-02-26T23:03:35Z,flaky test
https://github.com/ampproject/amphtml/pull/32950,ampproject/amphtml,https://github.com/ampproject/amphtml,✅ [`amp-delight-player`] Add more unit tests to improve coverage.,14915,1,2021-03-02T23:13:26Z,flaky test
https://github.com/department-of-veterans-affairs/vets-website/pull/16197,department-of-veterans-affairs/vets-website,https://github.com/department-of-veterans-affairs/vets-website,Skip flaky tests from past week,277,7,2021-02-26T16:43:06Z,flaky test
https://github.com/ampproject/amphtml/pull/32966,ampproject/amphtml,https://github.com/ampproject/amphtml,✅ [`amp-3q-player`] Add more unit tests to improve coverage.,14915,1,2021-03-05T08:20:44Z,flaky test
