pr_url,repo_full_name,repo_url,pr_title,repo_stars,changed_files,merged_at,terms_found
https://github.com/ghostery/ghostery-extension/pull/1815,ghostery/ghostery-extension,https://github.com/ghostery/ghostery-extension,Fix regional filters update condition,1663,1,2024-08-13T10:02:05Z,race condition
https://github.com/vercel/next.js/pull/68674,vercel/next.js,https://github.com/vercel/next.js,test: refactor unclear tests to composed matchers,138620,4,2024-08-08T14:58:48Z,flaky test
https://github.com/Hylozoic/hylo-evo/pull/1686,Hylozoic/hylo-evo,https://github.com/Hylozoic/hylo-evo,Evo 1681 fix component changing an uncontrolled input warning,38,3,2024-08-15T22:49:26Z,race condition
https://github.com/MetaMask/metamask-extension/pull/26449,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,test: add `driver.clickElementAndWaitForWindowToClose` helper method,13100,13,2024-08-19T15:13:19Z,race condition
https://github.com/CesiumGS/cesium/pull/12129,CesiumGS/cesium,https://github.com/CesiumGS/cesium,Procedural IBL Enhancement in CesiumJS,15076,36,2024-10-29T17:38:24Z,race condition
https://github.com/appknox/irene/pull/1437,appknox/irene,https://github.com/appknox/irene,flaky test fixes,21,9,2024-08-19T13:43:58Z,flaky test
https://github.com/WordPress/gutenberg/pull/64776,WordPress/gutenberg,https://github.com/WordPress/gutenberg,"Flaky Test: Fix ""Sorting"" test in new-templates-list.spec.js ",11602,1,2024-08-27T07:38:07Z,flaky test
https://github.com/mxcube/mxcubeweb/pull/1373,mxcube/mxcubeweb,https://github.com/mxcube/mxcubeweb,Tame Cypress tests,31,12,2024-08-27T14:46:56Z,flaky test
https://github.com/Accenture/sfmc-devtools/pull/1629,Accenture/sfmc-devtools,https://github.com/Accenture/sfmc-devtools,bug/1627 run publish journey action sequentially for multi-step journeys to fix race condition for sf-journeys,152,8,2024-08-29T21:17:19Z,race condition
https://github.com/StarCitizenTools/mediawiki-extensions-TabberNeue/pull/173,StarCitizenTools/mediawiki-extensions-TabberNeue,https://github.com/StarCitizenTools/mediawiki-extensions-TabberNeue,Ensure that the active tab is set before the tabber event is initialized,24,1,2024-08-31T23:57:41Z,race condition
https://github.com/Accenture/sfmc-devtools/pull/1635,Accenture/sfmc-devtools,https://github.com/Accenture/sfmc-devtools,7.3.1,152,18,2024-08-30T11:27:06Z,race condition
https://github.com/neo4j/neo4j-javascript-driver/pull/1216,neo4j/neo4j-javascript-driver,https://github.com/neo4j/neo4j-javascript-driver,Fix `maxConnectionPoolSize` verification,911,3,2024-09-03T13:08:00Z,race condition
https://github.com/MetaMask/metamask-extension/pull/26747,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,Cherrypick flaky test fix 12.2.0,13100,12,2024-08-30T09:45:44Z,flaky test
https://github.com/Dash-Industry-Forum/dash.js/pull/4562,Dash-Industry-Forum/dash.js,https://github.com/Dash-Industry-Forum/dash.js,Feature/unsupported security levels,5513,53,2024-10-01T06:28:00Z,race condition
https://github.com/ably/ably-js/pull/1855,ably/ably-js,https://github.com/ably/ably-js,[ECO-4914] Fix websocket reconnection can get stuck in disconnected/connecting cycle,361,3,2024-09-06T20:06:49Z,race condition
https://github.com/TanStack/config/pull/161,TanStack/config,https://github.com/TanStack/config,chore(deps): update all non-major dependencies,370,13,2024-09-10T12:28:01Z,race condition
https://github.com/Kong/insomnia/pull/7928,Kong/insomnia,https://github.com/Kong/insomnia,Fix duplicate file cause application error in collection view UI,38249,3,2024-09-09T09:53:56Z,race condition
https://github.com/TryGhost/Ghost/pull/20964,TryGhost/Ghost,https://github.com/TryGhost/Ghost,Added caching to `LastSeenAtUpdater`,52372,9,2024-09-13T07:54:43Z,race condition
https://github.com/shaka-project/shaka-player/pull/7268,shaka-project/shaka-player,https://github.com/shaka-project/shaka-player,test: Fix flaky test in Tizen,8037,1,2024-09-06T15:26:43Z,flaky test
https://github.com/EOX-A/EOxElements/pull/1242,EOX-A/EOxElements,https://github.com/EOX-A/EOxElements,chore: fix flaky tests,28,1,2024-09-11T06:53:42Z,flaky test
https://github.com/nodejs/undici/pull/3580,nodejs/undici,https://github.com/nodejs/undici,ci: less flaky test/request-timeout.js test,7489,1,2024-09-11T10:28:07Z,flaky test
https://github.com/usdigitalresponse/usdr-gost/pull/3513,usdigitalresponse/usdr-gost,https://github.com/usdigitalresponse/usdr-gost,Bug fix: My Grants showing all grants,32,4,2024-09-17T20:25:43Z,race condition
https://github.com/MetaMask/metamask-extension/pull/27067,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: Fixed flaky test for custom screen size ,13100,2,2024-09-17T15:01:55Z,flaky test
https://github.com/okta/okta-signin-widget/pull/3714,okta/okta-signin-widget,https://github.com/okta/okta-signin-widget,Update TestCafe to v3,397,31,2024-11-01T18:13:31Z,flaky test
https://github.com/WebKit/WebKit/pull/33533,WebKit/WebKit,https://github.com/WebKit/WebKit,Update ANGLE to 2024-09-11 (f0919be383d0d6ad76120fd7a3ed6b3beddb74d7),9736,68,2024-09-12T23:13:57Z,flaky test
https://github.com/Helioviewer-Project/helioviewer.org/pull/610,Helioviewer-Project/helioviewer.org,https://github.com/Helioviewer-Project/helioviewer.org,Stabilize test 2,24,5,2024-09-13T16:35:17Z,flaky test
https://github.com/Helioviewer-Project/helioviewer.org/pull/612,Helioviewer-Project/helioviewer.org,https://github.com/Helioviewer-Project/helioviewer.org,Add awaits to expects. Wait for load in hello_helioviewer,24,3,2024-09-16T19:39:24Z,flaky test
https://github.com/advplyr/audiobookshelf/pull/3436,advplyr/audiobookshelf,https://github.com/advplyr/audiobookshelf,Change PlaybackSession createFromOld to use upsert instead of create,12343,2,2024-09-18T20:14:03Z,race condition
https://github.com/getodk/central-backend/pull/1195,getodk/central-backend,https://github.com/getodk/central-backend,Prevent concurrent changes to same entity from different submissions,56,3,2024-09-23T03:05:55Z,race condition
https://github.com/digidem/comapeo-core/pull/856,digidem/comapeo-core,https://github.com/digidem/comapeo-core,test: always connect peers more realistically,22,7,2024-10-29T12:59:36Z,race condition
https://github.com/vercel/next.js/pull/70368,vercel/next.js,https://github.com/vercel/next.js,test: fix race condition in serverComponentsHmrCache tests,138620,1,2024-09-24T07:52:52Z,race condition
https://github.com/MetaMask/metamask-extension/pull/27352,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"fix: flaky test `Request Queuing Dapp 1, Switch Tx -> Dapp 2 Send Tx should queue send tx after switch network confirmation and transaction should target the correct network after switch is confirmed`",13100,1,2024-09-26T17:14:02Z,race condition | flaky test
https://github.com/Agoric/agoric-sdk/pull/10140,Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk,10130 excise SharedStateRecord,354,15,2024-10-02T16:46:11Z,race condition
https://github.com/getodk/central-backend/pull/1197,getodk/central-backend,https://github.com/getodk/central-backend,test/e2e/s3: fix race condition when killing minio,56,1,2024-09-24T20:38:28Z,race condition
https://github.com/newrelic/node-newrelic/pull/2610,newrelic/node-newrelic,https://github.com/newrelic/node-newrelic,test: Updated tests that relied on `tspl` by awating the `plan.completed` instead of calling `end` to avoid flaky tests,998,15,2024-09-24T17:38:09Z,flaky test
https://github.com/AltimateAI/vscode-dbt-power-user/pull/1420,AltimateAI/vscode-dbt-power-user,https://github.com/AltimateAI/vscode-dbt-power-user,fix: notebook issues,570,11,2024-09-20T18:25:36Z,race condition
https://github.com/mongoist/mongoist/pull/106,mongoist/mongoist,https://github.com/mongoist/mongoist,fix: database connect race condition,311,2,2024-10-01T10:52:37Z,race condition
https://github.com/getodk/central-backend/pull/1202,getodk/central-backend,https://github.com/getodk/central-backend,Test concurrent submissions that affect same entity,56,2,2024-10-03T04:02:37Z,race condition
https://github.com/mrdoob/three.js/pull/29547,mrdoob/three.js,https://github.com/mrdoob/three.js,Renderer: Added sync `.compute()` support,111772,10,2024-10-03T21:07:43Z,race condition
https://github.com/ScratchAddons/ScratchAddons/pull/7843,ScratchAddons/ScratchAddons,https://github.com/ScratchAddons/ScratchAddons,`player-thumb`: Fullscreen loading support and bug fixes,794,4,2024-11-29T22:34:52Z,race condition
https://github.com/department-of-veterans-affairs/vets-website/pull/32232,department-of-veterans-affairs/vets-website,https://github.com/department-of-veterans-affairs/vets-website,Vebt 672 fixed flaky tests,277,2,2024-10-02T16:18:04Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/27599,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Block Explorer links to the token tracker in the explorer`,13100,1,2024-10-03T12:39:03Z,flaky test
https://github.com/nodejs/undici/pull/3678,nodejs/undici,https://github.com/nodejs/undici,[Backport v6.x] ci: less flaky test/request-timeout.js test,7489,1,2024-10-04T21:46:21Z,flaky test
https://github.com/google/site-kit-wp/pull/9476,google/site-kit-wp,https://github.com/google/site-kit-wp,Enhancement/#9316 - Fix Audience Segmentation flaky tests,1356,3,2024-10-09T20:37:38Z,flaky test
https://github.com/digidem/comapeo-core/pull/902,digidem/comapeo-core,https://github.com/digidem/comapeo-core,[OPTIC-RELEASE-AUTOMATION] release/v2.0.0,22,275,2024-10-15T16:57:00Z,race condition
https://github.com/learningeconomy/LearnCard/pull/538,learningeconomy/LearnCard,https://github.com/learningeconomy/LearnCard,Fix Didkit Future Proofs Bug,62,7,2024-10-15T20:41:11Z,race condition
https://github.com/wurmlab/sequenceserver/pull/812,wurmlab/sequenceserver,https://github.com/wurmlab/sequenceserver,CI care package,300,9,2024-10-15T09:46:41Z,flaky test
